,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,price_category
346,"PetCeptual Freshly Flavor Baked Puppy Bone Treat Biscuits for Puppies & Dogs (Assorted Mix, 1Kg)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81nTCUMLgOL._AC_UL320_.jpg,https://www.amazon.in/PetCeptual-Freshly-Biscuits-Puppies-Assorted/dp/B091GJFFZN/ref=sr_1_3563?qid=1679214688&s=pet-supplies&sr=1-3563,4.1,69,299.0,₹499,Premium
177,"4K argo Egg Laying Hen Poultry Feed, Chicken Feed 5 kg Pack",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/5101Aac30FL._AC_UL320_.jpg,https://www.amazon.in/4K-argo-Laying-Poultry-Chicken/dp/B097Q3K9S4/ref=sr_1_1978?qid=1679214661&s=pet-supplies&sr=1-1978,3.2,9,480.0,"₹1,200",Premium
298,"Royal Canin Kitten Persian Pellet Cat Food, Meat Flavor, 4kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51ENYJrVJkL._AC_UL320_.jpg,https://www.amazon.in/Kg-Royal-Canin-Kitten-Persian/dp/B003NCI3EW/ref=sr_1_3227?qid=1679214681&s=pet-supplies&sr=1-3227,4.3,106,3930.0,"₹4,800",Premium
507,"Seachem High Capacity Bio Filtration Marine and Freshwater Matrix, 500 ml",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/5126hGsCP9L._AC_UL320_.jpg,https://www.amazon.in/Seachem-Capacity-Filtration-Marine-Freshwater/dp/B004PBD4J4/ref=sr_1_7156?qid=1679214738&s=pet-supplies&sr=1-7156,4.5,775,960.0,₹968,Premium
31,"Foodie Puppies Anti-Bacterial Grooming Wet Pet Wipes for Dogs, Puppies & Pets with Fresh Apple Scent 6""x 8"" - Pack of 100 ...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61nkFZtWo6L._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Wipes-Fresh-Apple/dp/B07T12S25N/ref=sr_1_104?qid=1679214631&s=pet-supplies&sr=1-104,4.3,"1,819",220.0,₹499,Premium
622,Qpets® Aquarium Decoration Cartoon Submarine Model Fish Tank Decoration Solid Submarine Toy Fish Hideout Cave Desktop Deco...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51f27ZwVnvL._AC_UL320_.jpg,https://www.amazon.in/Aquarium-Decoration-Cartoon-Submarine-Hideout/dp/B0BS6GS8B4/ref=sr_1_8735?qid=1679214760&s=pet-supplies&sr=1-8735,2.0,1,395.0,₹599,Premium
55,Foodie Puppies Professional Lockable Nail Cutter with Filer (Nail Cutter - Small) Grooming Tool Set Suitable for All Small...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/31opD4BKchL._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Professional-Lockable-Grooming/dp/B09MFCVW6L/ref=sr_1_560?qid=1679214638&s=pet-supplies&sr=1-560,3.7,41,185.0,₹399,High
174,"ADA Super 4 / Aquarium Additives / Indian Fish Monsters (IFM), 1 Piece",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81mfRG+KecL._AC_UL320_.jpg,https://www.amazon.in/ADA-Aquarium-Additive-Improves-Oxygenation/dp/B01HOIATZG/ref=sr_1_1975?qid=1679214661&s=pet-supplies&sr=1-1975,4.3,311,570.0,₹799,Premium
478,"AVI CRAVE Cuttlefish Bone Toy for Birds,Calcium for Birds,Minerals,for Parrots,Budgies,Cocktail,Love Birds (Small)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71EWd+1WV6L._AC_UL320_.jpg,https://www.amazon.in/AVI-CRAVE-Cuttlefish-Minerals-Cocktail/dp/B08GY6FK41/ref=sr_1_6863?qid=1679214732&s=pet-supplies&sr=1-6863,3.7,21,249.0,₹599,Premium
548,Beaphar Calming Collar Cat Collar,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71lU3MS76pL._AC_UL320_.jpg,https://www.amazon.in/Beaphar-Calming-Collar-for-Cats/dp/B016YENAUC/ref=sr_1_7269?qid=1679214739&s=pet-supplies&sr=1-7269,3.4,747,977.0,"₹1,150",Premium
209,"VetMantra MMC 5 KG, Mineral Mixture for Cow, Buffalo,Sheep,Goat and Other Large and Small Animals for Higher Milk Producti...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61hyULkwSOL._AC_UL320_.jpg,https://www.amazon.in/VetMantra-Mineral-Production-Reproduction-Efficiency/dp/B09MTZHP45/ref=sr_1_2010?qid=1679214663&s=pet-supplies&sr=1-2010,3.8,32,680.0,"₹1,067",Premium
110,"MS PET HOUSE Munchy Mix Flavours Sticks for Adult Dogs (Chicken, Mint, Mutton and Natural, 1 kg)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81ThzJjTP7L._AC_UL320_.jpg,https://www.amazon.in/Munchy-Sticks-Flavours-Chicken-Natural/dp/B07Y5DFZXY/ref=sr_1_903?qid=1679214645&s=pet-supplies&sr=1-903,4.1,183,230.0,₹899,Premium
375,"Qpets® USB Pet Water Fountain Pump Only for Cat water fountain, 5V Cat Water Fountain Pump Replacement, Low Noise 50DB, 15...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41J0jjEiuDL._AC_UL320_.jpg,https://www.amazon.in/Qpets%C2%AE-Water-Fountain-Replacement-Noise/dp/B0B1JQLTNP/ref=sr_1_4672?qid=1679214702&s=pet-supplies&sr=1-4672,4.0,2,567.0,"₹1,007",Premium
210,amiciTools Copper Winding 18 W Submersible Water Pump with 1 Year Warranty and 1.5m Power Cord,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71RPgtTc1qL._AC_UL320_.jpg,https://www.amazon.in/Amicikart-Manthan-Submersible-Lifting-Included/dp/B07BNDKPV2/ref=sr_1_2011?qid=1679214663&s=pet-supplies&sr=1-2011,4.1,270,563.31,₹900,Premium
158,Sobo 2 Way Air Pump,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41wUSGwxPJL._AC_UL320_.jpg,https://www.amazon.in/Sobo-2-Way-Air-Pump/dp/B010ND24E8/ref=sr_1_1023?qid=1679214648&s=pet-supplies&sr=1-1023,3.9,"1,455",399.0,₹400,Premium
165,"Hikari Cichlid Gold Floating Pellets Baby Fish Food for Pets, Mini 250g",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81VGw6NQLzL._AC_UL320_.jpg,https://www.amazon.in/Hikari-250g-Cichlid-Floating-Pellets/dp/B00025Z6G6/ref=sr_1_1030?qid=1679214648&s=pet-supplies&sr=1-1030,4.3,"1,002",649.0,₹979,Premium
361,"Sanmark Bird House Combo Nest Box Breeding House for A Variety of Small Birds Sparrow, Finches Handmade Bird Friendly Wood...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71588sqR-HL._AC_UL320_.jpg,https://www.amazon.in/Sanmark-Breeding-Handmade-Friendly-Watermelon/dp/B09TSPQGQL/ref=sr_1_4658?qid=1679214702&s=pet-supplies&sr=1-4658,4.2,33,289.0,"₹1,599",Premium
522,Amijivdaya Medium Bird Feeder and Water Feeder Combo,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/517iq52JeGL._AC_UL320_.jpg,https://www.amazon.in/Amijivdaya-Transparent-Green-Medium-Feeder/dp/B07MJGRGZL/ref=sr_1_7171?qid=1679214738&s=pet-supplies&sr=1-7171,3.9,571,497.0,"₹1,494",Premium
76,"Taiyo Pro-Rich Red Parrot Pellet Young Fish Food, 350g",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61AwSAZwy8L._AC_UL320_.jpg,https://www.amazon.in/Taiyo-Pro-Rich-Red-Parrot-Food/dp/B07WMY3Y9L/ref=sr_1_845?qid=1679214643&s=pet-supplies&sr=1-845,4.2,494,390.0,₹575,Premium
592,"Pet Lovers Crunch Veg, 1 kg (PVC)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/A14lqRSH+3L._AC_UL320_.jpg,https://www.amazon.in/Pet-Lovers-Crunch-Veg-Pvc/dp/B00PK3E9T0/ref=sr_1_8537?qid=1679214756&s=pet-supplies&sr=1-8537,3.7,17,,₹170,
2,"Purepet Mackerel Adult Dry Cat Food, 1.2 kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71CZOKVVeVL._AC_UL320_.jpg,https://www.amazon.in/Purepet-Mackerel-Adult-Cat-Food/dp/B07DVHCPQ5/ref=sr_1_3?qid=1679214629&s=pet-supplies&sr=1-3,4.2,"10,211",185.0,₹239,High
616,"Parakh Multicolour Flat Round Shaded Marbles Pebbles for Vase Fillers, Glass Gems Stone, Table Scatter, Landscaping, Aquar...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51YyULpqyEL._AC_UL320_.jpg,https://www.amazon.in/Parakh-Multicolour-Flat-Round-Marbles/dp/B08FYS1Y27/ref=sr_1_8729?qid=1679214760&s=pet-supplies&sr=1-8729,4.1,19,199.0,₹469,High
271,"Aquarium Pharmaceuticals, Api, Mars Fishcare Api High Range Ph Test Kit for Aquariums",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81jhNrc0X3L._AC_UL320_.jpg,https://www.amazon.in/Aquarium-Pharmaceuticals-Fishcare-Range-Aquariums/dp/B003SN6Z78/ref=sr_1_2960?qid=1679214677&s=pet-supplies&sr=1-2960,4.3,667,899.0,"₹1,200",Premium
292,First Bark DogsNCats Fruity Blast Dog Treat Mix Fruit (2 x 225g) with Free Jerhigh Milky Stick 20g (Newly Launched) Sold b...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81+V-D2GFQL._AC_UL320_.jpg,https://www.amazon.in/First-Bark-Fruity-Jerhigh-Launched/dp/B09FK4T6MP/ref=sr_1_3221?qid=1679214681&s=pet-supplies&sr=1-3221,4.3,30,525.0,₹590,Premium
437,Flipco Pet Hair Remover Glove Gentle Pet Grooming Glove Brush Efficient Deshedding Glove Massage Mitt with Enhanced Five F...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/619bgjv1A9L._AC_UL320_.jpg,https://www.amazon.in/Flipco-Grooming-Efficient-Deshedding-Enhanced/dp/B08DL4NH8S/ref=sr_1_6342?qid=1679214725&s=pet-supplies&sr=1-6342,3.7,88,135.0,₹499,High
643,"Jainsons Pet Products Silicone Tube Clear Flexible Silicone Rubber for Transferring Liquid and Gas, Such as Liquid handlin...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51ORyJRoeqL._AC_UL320_.jpg,https://www.amazon.in/Jainsons-Products-Tube-Rubber-Transferring/dp/B0B8YWXXK8/ref=sr_1_9500?qid=1679214770&s=pet-supplies&sr=1-9500,1.5,2,149.0,₹299,High
90,HANK Dog Comb - Dog Hair Brush for Small to Large Pets - Dual Side Stainless Steel Cat Comb - Pet Hair Remover - Desheddin...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61ua9CwGl1L._AC_UL320_.jpg,https://www.amazon.in/HANK-Dematting-Deshedding-Undercoat-Grooming/dp/B0848PGZZK/ref=sr_1_859?qid=1679214643&s=pet-supplies&sr=1-859,4.4,728,594.0,₹999,Premium
496,Emily Pets Pet Thick Hair Fur Shedding Remove Grooming Rake Comb Dog Cat Brush Pet Dematting Fur Rake Comb Brush Tool with...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51H3hRdlZ9L._AC_UL320_.jpg,https://www.amazon.in/Emily-Pets-Shedding-Grooming-Dematting/dp/B09PBQ64CB/ref=sr_1_6953?qid=1679214734&s=pet-supplies&sr=1-6953,3.3,5,239.0,₹299,Premium
481,"Sage Square Rustproof Stainless Steel Cage Food, Seed, Water Feeder Cum Bowl with Holder clamp for Birds (250ml) (Set of 9)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41vnp5rhnFL._AC_UL320_.jpg,https://www.amazon.in/Sage-Square-Rustproof-Stainless-Feeder/dp/B08CZJPYLG/ref=sr_1_6938?qid=1679214734&s=pet-supplies&sr=1-6938,3.8,33,689.0,₹898,Premium
30,"ZOIVANE Potty Training Spray for Puppy - 200ml | Potty Training, Dog Potty Training Spray, Potty Training Spray, Indoor Us...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51g7468jfRL._AC_UL320_.jpg,https://www.amazon.in/ZOIVANE-Potty-Training-Spray-Puppy/dp/B0B24RX3VW/ref=sr_1_103?qid=1679214631&s=pet-supplies&sr=1-103,3.2,602,339.0,₹400,Premium
327,Pedigree Puppy Chicken Chunks Gravy Pouches - Pack of 15,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/816dn1oymaL._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Chicken-Chunks-Pouches-PUPPOU80/dp/B01CZQQRC6/ref=sr_1_3304?qid=1679214683&s=pet-supplies&sr=1-3304,4.5,97,714.0,₹999,Premium
176,"Heads Up For Tails Me-O Kitten Persian Dry Cat Food - ( 6.8 Kg, Chicken Flavour)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41f+uYuMRJS._AC_UL320_.jpg,https://www.amazon.in/Heads-Up-Tails-Kitten-Persian/dp/B099K91XTR/ref=sr_1_1977?qid=1679214661&s=pet-supplies&sr=1-1977,4.5,40,2459.0,"₹2,999",Premium
430,VetSafe Pet Body Disinfectant and Odour Control Spray,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61icfLHjg-L._AC_UL320_.jpg,https://www.amazon.in/VetSafe-Disinfectant-Odour-Control-Spray/dp/B09NW2WKQR/ref=sr_1_5927?qid=1679214718&s=pet-supplies&sr=1-5927,4.0,27,229.0,₹475,Premium
44,Foodie Puppies Siphon Pump for Aquarium/Fish Tank Cleaning Tool Without Valve Algae Scrapers & Fish Tank Gravel Cleaner -...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51y-A6+Ag9L._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Aquarium-Cleaner-Changer/dp/B07B1ZFFMQ/ref=sr_1_117?qid=1679214631&s=pet-supplies&sr=1-117,4.0,"3,321",180.0,₹399,High
264,Goofy Tails Rubber Dog Toys| Non-Toxic Flavoured Rubber Toy for Dogs| Ideal Dog Toy for Medium and Large Breeds (Super Twi...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41Ci5kOujcL._AC_UL320_.jpg,https://www.amazon.in/Goofy-Tails-Super-Twisted-Ring/dp/B0BVQMQQ42/ref=sr_1_2953?qid=1679214677&s=pet-supplies&sr=1-2953,4.0,131,350.0,₹485,Premium
78,"Petterati Pet Sanitizer - Floral (250 ml) | BKC, Chemical & Alcohol-Free Pet Paw Cleaner | Kills 99.9% Germs | Safe for Bo...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61NK9W6wudL._AC_UL320_.jpg,https://www.amazon.in/Petterati-Sanitizer-Alcohol-Goodness-Vitamin/dp/B09CQ2SHGP/ref=sr_1_847?qid=1679214643&s=pet-supplies&sr=1-847,4.6,108,226.0,₹299,Premium
446,Venkys Venal Essentials 50 Tablets,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51OYpfkB0SL._AC_UL320_.jpg,https://www.amazon.in/Venkys-Venal-Essentials-50-Tablets/dp/B0BMGLVDVV/ref=sr_1_6351?qid=1679214725&s=pet-supplies&sr=1-6351,,,460.0,₹790,Premium
101,"Choostix Biskies with Real Cheese Dry Young Adult Dog Food, 1 Kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/91zH+-bRA7L._AC_UL320_.jpg,https://www.amazon.in/CHOOSTIX-Choostix-Biskies-Real-Cheese/dp/B00U5YL884/ref=sr_1_894?qid=1679214645&s=pet-supplies&sr=1-894,4.2,417,255.0,₹300,Premium
367,Pedigone Dog Belt Combo of Nylon Fur Padded Red Dog Harness with Red Dog Lead Specially for Medium Breeds Dog Harness Chai...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71x2VP0rmqL._AC_UL320_.jpg,https://www.amazon.in/Pedigone-Padded-Harness-Specially-Medium/dp/B0918D2H6L/ref=sr_1_4664?qid=1679214702&s=pet-supplies&sr=1-4664,3.8,"1,255",299.0,₹599,Premium
364,"ROYALE CAT Rubber Bonded Bottom Dish Bowl for Cats Puppy, 200 ml -Pack of 2",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71YTubNRiaL._AC_UL320_.jpg,https://www.amazon.in/Royale-Rubber-Bonded-Bottom-Bowl-200/dp/B07YZMCZYK/ref=sr_1_4661?qid=1679214702&s=pet-supplies&sr=1-4661,4.1,60,398.0,₹598,Premium
